	Remove target nontoken permanent you control and target nontoken permanent target player controls from the game. That player may pay 10 life to counter this effect.	Bronze Tablet	
	Whenever a creature you control is put into your graveyard from play this combat, at end of combat, you lose 1 life and return that creature to your hand.	Brood of Cockroaches	
	Chaos deals 1 damage to target creature or player and 1 damage to you.	Brothers of Fire	
	Counter activated abilities from artifact sources this combat other than mana abilities. This effect may not be responded to.	Brown Ouphe	
	Look at the top five cards of your library and put one of them into your hand. Remove the rest from the game.	Browse	
	Whenever target creature in combat blocks or becomes blocked this combat, it gets -2/+2 this turn.	Brushwagg	
	Each opponent discards a card for each creature you control.	Brutal Nightstalker	
	Prevent all damage that would be dealt to creatures this combat.	Bubble Matrix	
	Destroy 1d3 target artifacts. Chaos deals damage to each player equal to the number of artifacts he or she controlled that were destroyed this way.	Builder's Bane	
	If you control a creature, sacrifice a creature unless you return two Forests you control to their owner's hand.	Bull Elephant	
	Create a 3/3 green Hippo creature token with islandwalk. Blockers may be reassigned.	Bull Hippo	
	Starting with the player that rolled this effect and then turn order, each player performs all actions in the sequence of previously added actions (hereafter known as "ACTION QUEUE"), in the order those actions were added, then adds another action to the end of the ACTION QUEUE. All actions must be simple physical or verbal actions that a player can perform while sitting in a chair, without jeopardizing the health and security of any player. This effect continues until a player does not perform all the prescribed actions in the correct order. That player must sacrifice a permanent and discard his or her hand and this effect ends.	Bureaucracy	
	Search your library for up to three creature cards and put them into your graveyard. Then shuffle your library.	Buried Alive	
	Whenever any player taps a card this combat, that player gives control of that card to an opponent at end of combat. If a player does not tap any nonland cards during this combat, Chaos deals 3 damage to that player at end of combat.	Burning Cinder Fury of Crimson Chaos Fire	
	Target creature gets +2/+0 until end of turn. Chaos deals 2 damage to that creature.	Burning Cloak	
	Chaos deals 5 damage to target opponent.	Burning Fields	
	Each player sacrifices four lands. Chaos deals 4 damage to each creature.	Burning of Xinye	
	Chaos deals 2 damage to target creature with flying and that creature loses flying this turn.	Burning Palm Efreet	
	Target untapped creature gains first strike this combat.	Burning Shield Askari	
	Look at target players hand. Choose a blue instant card and put it in that players graveyard. Draw a card.	Burnout	
	Sacrifice a creature. Add X mana in any combination of B and/or R to your mana pool, where X is the sacrificed creature's converted mana cost.	Burnt Offering	
	Target attacking creature gains mountainwalk until end of turn. Blockers may be reassigned.	Burrowing	
	Each opponent discards a card for each creature you control.	Cackling Fiend	
	Remove a card in your hand from the game. Add BB or GG to your mana pool.	Cadaverous Bloom	
	Regenerate target untapped creature.	Cadaverous Knight	
	Reveal the top card of your library. If it's a creature card, put it onto the battlefield. Otherwise, put it into your graveyard.	Call of the Wild	
	White creatures get +1/+1 this turn.	Call to Arms	
	Whenever a creature attacks this combat, Chaos deals 1 damage to it.	Caltrops	
	Attacking creatures have banding until end of turn. If a creature is banded, it has protection from lands. Attackers and blockers may be reassigned.	Camel	
	Remove all blockers from combat and assign them to block attackers randomly.	Camouflage	
	Target player discards a card at random.	Cancel	
	Tap all lands you control for mana. Spend all mana in your pool on X. Tap a noncreature permanent you control. Untap X target lands.	Candelabra of Tawnos	
	Target creature in combat gains flying and loses trample this combat.	Canopy Dragon	
	Target creature gets reach this combat.	Canopy Spider	
	Discard a card at random. Target creature in combat gets +2/+0 this combat.	Canyon Drake	
	Target attacking creature gets mountainwalk this combat.	Canyon Wildcat	
	Target opponent discards two cards.	Cao Cao, Lord of Wei	
	You lose 3 life for each creature you control.	Cao Ren, Wei Commander	
	Tap an untapped creature you control. That creature deals 1 damage to target creature or player.	Capricious Sorcerer	
	Return target permanent to its owner's hand. You may play this effect again if you pay 3.	Capsize	
	Take an extra turn after this one.	Capture of Jingzhou	
	Gain 4 life. Cascade the next spell you cast until end of turn.	Captured Sunlight	
	Target creature you control gets +0/+2 this turn. Sacrifice an enchantment. Regenerate this creature.	Carapace	
	For each Un-card you own within your reach, all of your creatures get +1/+1 this turn. This does not count any cards in play that you control or in your graveyard, hand, or library.	Cardboard Carapace	
	Create a 0/1 white Caribou creature token for every two lands you control. Whenever you sacrifice a Caribou token this combat, gain 1 life. Blockers may be reassigned.	Caribou Range	
	Create a 4/5 green Plant Wall creature token with defender. Blockers may be reassigned.	Carnivorous Plant	
	If you control a creature, draw a card.	Carrier Pigeons	
	Sacrifice a creature. Create X 0/1 black Insect creature tokens, where X is the sacrificed creature's power.	Carrion	
	Target creature you control gets +1/+1 this combat for each land you control.	Carrion Ants	
	Regenerate target creature with defender.	Carrion Wall	
	Remove a creature card from your graveyard and target creature in combat from the game unless that creature's controller pays 2.	Carrionette	
	Whenever a creature you control is put into a graveyard this combat, draw three cards, then discard one of them.	Casting of Bones	
	Untapped, non-attacking creatures have +0/+2 until end of turn.	Castle	
	Create a 2/2 green Cat Warrior creature token with forestwalk. Blockers may be reassigned.	Cat Warriors	
	Whenever target untapped creature becomes blocked by a nonartifact, non-Dragon creature this combat, that creature gets -X/-0 until end of combat, where X is half the creature's power, rounded down.	Catacomb Dragon	
	Draw two cards, then discard a card.	Catalog	
	Destroy all lands or all creatures. Creatures destroyed this way can't be regenerated.	Catastrophe	
	White legendary creatures you control can band with other legendary creatures this combat.	Cathedral of Serra	
	Target creature controlled by the active player gets +1/-2 and mountainwalk this combat.	Cave People	
	No more than two creatures can attack this combat. No more than two creatures can block this combat.	Caverns of Despair	
	Lands you control are Plains. Nonland cards you own that aren't in play, spells you control, and nonland permanents you control are white. You may spend white mana as though it were mana of any color. You may spend other mana only as though it were colorless mana. This effect lasts until end of combat.	Celestial Dawn	
	Add one mana of any color to your mana pool. This mana does not empty until end of turn.	Celestial Prism	
	Tap a noncreature permanent you control. Target creature you control gets +3/+3 this turn. Destroy it at end of turn. A creature destroyed this way can't be regenerated.	Celestial Sword	
	Create a 0/5 black Wall creature token with defender and protection from black. Blockers may be reassigned.	Cemetery Gate	
	Choose a word. Whenever any player says the chosen word this combat, Chaos deals 2 damage to him or her.	Censorship	
	Tap a creature you control. Chaos deals 1 damage to target creature with flying.	Centaur Archer	
	Whenever a creature deals combat damage to a player, return up to that many target permanents that player controls to their owners' hands.	Cephalid Constable	
	Create a 2/2 red and white Beast token with vigilance and haste. Attackers and blockers may be reassigned.	Cerodon Yearling	
	Create a 3/3 blue Drake creature token with flying and protection from green. Blockers may be reassigned.	Cerulean Wyvern	
	Chaos deals 3 damage to target creature in combat or player. Then that player or that creature's controller may pay RR. If the player does, he or she may copy this effect and may choose a new target for that copy.	Chain Lightning	
	Choose one: Tap target creature in combat and remove it from combat; or Untap target creature not in combat and add it to combat. Then that creature's controller may pay 2U. If the player does, he or she may copy this effect and may choose a new target for that copy.	Chain Stasis	
	Discard a card. If you discard a card this way, draw a card. If you don't discard a card this way, put the top card of your library into your graveyard.	Chains of Mephistopheles	
	Prevent all damage that would be dealt to target creature in combat by creatures this combat.	Champion Lancer	
	Return target attacking creature to its owner's hand.	Champion's Victory	
	Tap a creature you control in combat and remove it from combat. Destroy target artifact creature.	Chandler	
	Choose one - Lose 1 life and Chaos deals 1 damage to target player; or Lose 1d6 life and Chaos deals 1d6 damage to target creature in combat; or Lose 8 life and Chaos deals 10 damage to target player and each creature he or she controls.	Chandra Nalaar	
	Until end of turn, you gain "Pay 1 life: Add 1 to your mana pool."	Channel	
	Choose one - Destroy target Wall; or Chaos deals 1 damage to target creature in combat; or target creature gains haste and you can add it to combat.	Chaos Charm	
	Tear a card you own into pieces. Throw the pieces onto the playing area from a distance of at least five feet. Destroy each card in play that a piece touches. Remove the pieces from the game afterwards.	Chaos Confetti	
	Remove the top card of your library from the game. If that card is a land card, target creature in combat gets -4/-0 this combat. Otherwise, it gets +2/+0 this combat.	Chaos Harlequin	
	If the number of permanents is even, gain control of a creature of your choice. That creature has haste and may be added to combat this turn.	Chaos Lord	
	Count the number of permanents. If the number is odd, until end of turn, red creatures get +1/+1 and whenever a player taps a Mountain for mana, that player adds R to his or her mana pool. If the number is even, this combat red creatures get -1/-1 and if a player taps a Mountain for mana, that Mountain produces colorless mana instead of any other type.	Chaos Moon	
	Sacrifice a permanent you control: Flip that card onto the battlefield from a height of at least one foot. If that card turns over completely at least once during the flip, destroy all nontoken permanents it touches. Then destroy the flipped card. Players may not move their cards other than tapping until this effect resolves.	Chaos Orb	
	Target permanent becomes red permanently. (Its mana symbols remain unchanged.)	Chaoslace	
	Creatures with flying can't block creatures without flying and creatures without flying have reach this combat.	Chaosphere	
	Put three +1/+1 counters on target creature in combat. Roll 1d6. Then roll that many d6's. Each d6 rolled does the following: If the roll is even, add a +1/+1 counter to a creature in combat. If the roll is odd, remove a +1/+1 counter from a creature in combat.	Chaotic Goo	
	Tap a permanent you control. Add B to your mana pool. This mana doesn't empty until end of turn.	Charcoal Diamond	
	Whenever a creature attacks, it gets +2/+0 this combat.	Charging Bandits	
	Whenever a creature attacks, it gets +0/+3 this turn.	Charging Paladin	
	Target attacking creature can't be blocked by more than one creature this combat.	Charging Rhino	
	Target creature in combat gains flying and its toughness becomes 1 this combat.	Chariot of the Sun	
	Choose a color and a card in play you control. Balance the chosen card on your head. Prevent all damage to you from the chosen color this combat as long as the card stays on your head. If the card falls off, sacrifice it.	Charm School	
	Once attackers are declared for the turn, destroy target attacking creature. You gain life equal to its power.	Chastise	
	The active player discards a card at random if each player, other than the active player and his or her teammates, agrees to choose and discard a card. Those players must discard those cards after agreeing. This effect may be used only in a game with three or more players.	Checks and Balances	
	Tap a Chicken you control. Roll a six-sided die. If a 6 is rolled, put a +1/+1 counter on each Chicken in play.	Chicken à la King	
	Roll a six-sided die. On a 6, sacrifice a creature and create a 4/4 red Giant Chicken token.	Chicken Egg	
	Red spells cost 2 more to play until end of turn.	Chill	
	Choose one - Target permanent controlled by a player in combat becomes a 2/1 Construct artifact creature with flying until end of turn; or Target permanent controlled by a player in combat becomes a 3/2 Construct artifact creature without flying until end of turn. Blockers may be reassigned.	Chimeric Sphere	
	Target creature in combat becomes an 1d6/1d6 Construct artifact creature this turn.	Chimeric Staff	
	Tap all Islands.	Choke	
	Destroy target non-Swamp land. If that land was nonbasic, Chaos deals 2 damage to the land's controller.	Choking Sands	
	1d6 target attacking creatures become blocked. Chaos deals 1 damage to each of those creatures. (This effect works on unblockable creatures.)	Choking Vines	
	Prevent all damage that would be dealt to your creatures this combat.	Cho-Manno, Revolutionary	
	Creatures you control get +1/+0 this combat.	Chorus of Woe	
	Roll 1d6. 1-Colorless, 2-Black, 3-Blue, 4-Green, 5-Red, 6-White. Put a Chaos Counter onto the battlefield. Prevent all damage that would be dealt to creatures by a source of the last color rolled. X: Put a Chaos Counter onto the battlefield and roll 1d6 for the color. X is the number of Chaos Counters in play. At end of combat, remove all Chaos Counters from the game.	Chromatic Armor	
	Sacrifice a permanent. Add one mana of any color to your mana pool. Draw a card.	Chromatic Star	
	Sacrifice a creature unless you pay WUB. Target creature you control has flying and rampage 2 this combat.	Chromium	
	Target creature in combat gets +3/+3 this turn. Skip your next turn.	Chronatog	
	Target creature in combat gets +2/+2 this turn.	Chub Toad	
	Destroy target creature in combat. If a white creature is put into a graveyard this way, Chaos deals damage to that creature's controller equal to the creature's power.	Cinder Cloud	
	Target creature in combat deals 2 damage to each other creature you control.	Cinder Giant	
	Chaos deals 7 damage to target creature or player in combat.	Cinder Storm	
	When a creature with defender blocks this combat, destroy the blocked creature at end of combat.	Cinder Wall	
	Sacrifice a creature. The next time a source of your choice would deal damage to target creature in combat or player this turn, prevent that damage.	Circle of Despair	
	Prevent all damage that would be dealt by colorless sources until end of turn.	Circle of Protection: Artifacts	
	Prevent all damage that would be dealt by black sources until end of turn.	Circle of Protection: Black	
	Prevent all damage that would be dealt by blue sources until end of turn.	Circle of Protection: Blue	
	Prevent all damage that would be dealt by green sources until end of turn.	Circle of Protection: Green	
	Prevent all damage that would be dealt by red sources until end of turn.	Circle of Protection: Red	
	Prevent all damage that would be dealt by shadow sources until end of turn.	Circle of Protection: Shadow 	
	Prevent all damage that would be dealt by white sources until end of turn.	Circle of Protection: White	
	Sacrifice a creature unless you remove the top creature card in your graveyard from the game.	Circling Vultures	
	Put a +1/+1 counter on a creature in combat for each artifact controlled by target opponent.	Citanul Druid	
	Search your library for a creature card with converted mana cost 1d6 or less, reveal it, and put it into your hand. Then shuffle your library.	Citanul Flute	
	Whenever one or more other nontoken permanents with a name originally printed in the Arabian Nights expansion are on the battlefield, their controllers sacrifice them. Until end of turn, players can’t cast spells or play lands with a name originally printed in the Arabian Nights expansion.	City in a Bottle	
	Remove 1d6 creatures you control from the game. Add 1d6 to your mana pool.	City of Shadows	
	Except for the active player, players cannot play spells or activated abilities this combat. This effect may not be responded to.	City of Solitude	
	Choose one - Target creature in combat gets +0/+1 this turn; or Put target creature in combat on top of its owner's library.	Civic Guildmage	
	Search your library for a basic land card, reveal it, and put it into your hand. Then shuffle your library.	Civic Wayfinder	
	Look at target player's hand. Draw a card.	Clairvoyance	
	Choose a word. Each player, starting with you, in turn order, must sing at least six words of a song, one of which must be the chosen word, or that player sacrifices a permanent and this effect ends. A song may not be repeated.	Clam Session	
	If a creature damages any player this combat, the creatures' controller chooses an artifact, creature, or land he or she controls. The player damaged gains control of that artifact, creature, or land.	Clambassadors	
	Roll your Combat Chaos roll again. The new effect happens. If you roll a 3, you may reroll that die.	Clam-I-Am	
	Throw a creature card you control into the air at least two feet above your head while seated. Attempt to catch it with one hand. If you catch it, prevent all damage to you during this combat and return the creature to play, tapped. Otherwise, sacrifice it.	Clay Pigeon	
	Create a 3/1 Golem artifact creature token with 2: Regenerate. Blockers may be reassigned.	Clay Statue	
	Destroy all black creatures.	Cleanse	
	For each land in play, destroy that land unless any player pays 1 life.	Cleansing	
	Prevent the next 1d6 damage that would be dealt to target creature or player in combat this combat.	Clergy en-Vec	
	If target creature you control would be destroyed this combat, regenerate it unless an opponent pays 1.	Clergy of the Holy Nimbus	
	Target attacking, unblocked creature deals no combat damage this combat. The defending player discards a card at random.	Cloak of Confusion	
	Target creature in combat gains flying this combat. Draw a card.	Cloak of Feathers	
	Target creature in combat phases out.	Cloak of Invisibility	
	Put 1d6 +1/+0 counters on target creature in combat. At the end of any combat, if the targeted creature attacked or blocked, remove a +1/+0 counter from it. As long as the targeted creature has counters, it has flying.	Clockwork Avian	
	Put seven +1/+0 counters on target creature in combat. At end of combat, remove a +1/+0 counter from it. Blockers may be reassigned.	Clockwork Beast	
	Regenerate target artifact creature in combat.	Clockwork Gnomes	
	Put 1d6 +1/+0 counters on target creature in combat. At the end of any combat, if the targeteded creature attacked or blocked, remove a +1/+0 counter from it. As long as the targeted creature has counters, it can't be blocked by artifact creatures.	Clockwork Steed	
	Put 1d6 +1/+0 counters on target creature in combat. At the end of any combat, if the targeted creature attacked or blocked, remove a +1/+0 counter from it. As long as the targeted creature has counters, it can't be blocked by Walls.	Clockwork Swarm	
	Target creature in combat becomes a copy of any creature on the battlefield.	Clone	
	Choose a creature type in combat. All creatures of that type have "2: Regenerate this permanent." until end of turn.	Clot Sliver	
	Create a 5/4 blue Djinn creature token with flying that can block only creatures with flying. Blockers may be reassigned.	Cloud Djinn	
	Create a 5/4 blue Illusion Dragon creature token with flying that can block only creatures with flying. Blockers may be reassigned.	Cloud Dragon	
	Target blocking creature with flying can only block creatures with flying this combat.	Cloud Elemental	
	Create a 1/1 blue Human Pirate creature token with flying that can block only creatures with flying. Blockers may be reassigned.	Cloud Pirates	
	Create a 3/1 blue Spirit creature token with flying that can block only creatures with flying. Blockers may be reassigned.	Cloud Spirit	
	Create a 1/1 blue Faerie creature token with flying that can block only creatures with flying. Blockers may be reassigned.	Cloud Sprite	
	If you control a creature, destroy target enchantment.	Cloudchaser Eagle	
	Until end of turn, whenever you cast a multicolored instant or sorcery spell, you may pay 1. If you do, copy that spell. You may choose new targets for the copy.	Cloven Casting	
	Sacrifice a creature. Add RRR to your mana pool.	Coal Golem	
	Sacrifice a land. Your creatures in combat gain flying this combat.	Coastal Hornclaw	
	Whenever a creature deals combat damage to an opponent this turn, you may draw a card.	Coastal Piracy	
	Return target creature in combat and another target creature in combat to their owners' hands.	Coastal Wizard	
	Each creature gets +1/+1 this combat for each other creature in play that shares a creature type with it. (For example, if a Goblin Warrior, a Goblin Scout, and a Zombie Goblin are in play, each gets +2/+2.)	Coat of Arms	
	If target creature in combat is blocking or is blocked by a non-Wall creature this combat, destroy the other creature at end of combat.	Cockatrice	
	Tap a creature you control. At the end of combat, that creature gets +1/+1 and gains flying.	Cocoon	
	Target opponent reveals his or her hand. Choose a card from it. That player discards that card.	Coercion	
	Put target creature card from a graveyard into combat under your control. At the end of combat, remove that creature from the game.	Coffin Queen	
	Target Artifact creature in combat gets first strike this combat. 	Coiled Tinviper	
	Target attacking creature gets +1/-1 this combat. Sacrifice an enchantment. If you do, destroy all non-Wall creatures blocking target creature.	Coils of the Medusa	
	Chaos deals damage to you equal to the number of snow lands you control.	Cold Snap	
	Remove 1d6 creatures you control from the game. Sacrifice a permanent. Return each creature card removed from the game this way to play under its owner's control.	Cold Storage	
	Draw a card for each creature you control.	Collective Unconscious	
	Target creature in combat gets +4/+2 and gains trample this combat.	Colossal Might	
	Untap a creature you control.	Colossus of Sardia	
	Prevent the next 1 damage that would be dealt to target creature or player this combat for each Plains you control.	Combat Medic	
	Return one or two target attacking creatures to their owner's hand.	Command of Unsummoning	
	If you control a black creature, sacrifice a creature.	Commander Greven il-Vec	
	Target player in combat reveals a card at random and discards it unless he or she asks each player (in turn order) for permission to keep it. If a player refuses permission, that player sacrifices a permanent and the card is discarded.	Common Courtesy	
	Look at the top five cards of your library. You may reveal a creature card from among them and put it into your hand. Put the rest on the bottom of your library in any order.	Commune with Nature	
	Sacrifice a creature you control. Add WUBRG to your mana pool. This mana doesn't empty until end of turn.	Composite Golem	
	Whenever a black card is put into a graveyard this combat, draw a card.	Compost	
	Draw three cards.	Concentrate	
	Sacrifice a permanent. Draw two cards, then put a card from your hand on top of your library.	Conch Horn	
	All creatures have haste this combat.	Concordant Crossroads	
	Put target attacking creature on the bottom of its owner's library. Its controller gains life equal to its toughness.	Condemn	
	Chaos deals 1 damage to target creature in combat or player, 2 damage to another target creature in combat or player, and 3 damage to a third target creature in combat or player.	Cone of Flame	
	You control target permanent.	Confiscate	
	You control target land.	Conquer	
	Target land is indestructible until end of turn and any auras on it are destroyed.	Consecrate Land	
	Prevent the next 2 damage that would be dealt to you until end of turn.	Conservator	
	Chaos deals 1d6 damage to target creature or player and you gain 1d6 life.	Consume Spirit	
	Target creature in combat gets +1/+0. Put three +1/+0 counters distributed however you wish on creatures in combat. At the end of combat, if a creature has three or more +1/+0 counters on it, it deals damage equal to its power to its controller, then destroy that creature and it can't be regenerated.	Consuming Ferocity	
	Distribute two -2/-1 counters among one or two target creatures in combat.	Contagion	
	Target attacking or blocking creatures' controller loses 3 life.	Contaminated Bond	
	Discard your hand, exile the top card of your library, then draw seven cards.	Contract from Below	
	You control target creature. Blockers may be reassigned.	Control Magic	
	Draw four cards, then discard three cards at random.	Control of the Court	
	Mountains are Plains until end of turn.	Conversion	
	Target creature has banding this combat.	Cooperation	
	Chaos deals 1 damage to you.	Copper Tablet	
	Target enchantment loses it's abilities and becomes a copy of target artifact on the battlefield. It's still an enchantment.	Copy Artifact	
	Create a 2/1 blue Fish creature token. Blockers may be reassigned.	Coral Eel	
	Whenever target untapped creature controlled by the active player attacks and isn't blocked, look at the top card of defending player's library. You may put that card on the bottom of that player's library.	Coral Fighters	
	Discard 1d6 cards at random. Target creature gets +2/+2 this combat for each card discarded this way.	Coral Helm	
	Create a 2/1 blue Merfolk creature token. Blockers may be reassigned.	Coral Merfolk	
	Tap all untapped blue creatures you control. Put a +0/+1 counter on each creature you tapped this way. Sacrifice an Island.	Coral Reef	
	Return the top creature card from your graveyard to combat. That creature gains haste this combat. Remove the creature from the game at end of combat. You may play this effect again for 2 mana.	Corpse Dance	
	Choose target opponent. Roll 1d6 for each artifact he or she controls. Then destroy each artifact with converted mana cost less than or equal to the number rolled for it. Artifacts destroyed this way can't be regenerated.	Corrosion	
	Chaos deals damage equal to the number of Swamps you control to target creature or player. You gain life equal to the damage dealt this way.	Corrupt	
	Target opponent discards a card for each creature you control.	Corrupt Court Official	
	Each creature you control deals 2 damage to target creature.	Corrupt Eunuchs	
	Sacrifice a creature. Chaos deals 7 damage to you. Ignore this effect if you pay 3BBB.	Cosmic Horror	
	Draw a card for each creature you control.	Council of Advisors	
	Draw two cards.	Counsel of the Soratami	
	Return one or two target creatures to their owner's hand.	Counterintelligence	
	The next spell cast until end of turn is countered. This effect may not be responded to.	Counterspell	
	Whenever a creature becomes the target of a spell, ability, or Chaos effect this combat, return that creature to its owner's hand. (It won't be affected by the spell or ability.)	Cowardice	
	After attackers are declared, choose an attacking creature with power 2 or less. That creature is unblockable this combat.	Crafty Pathmage	
	Create an 8/4 green Rhino creature token with trample. Blockers may be reassigned.	Crash of Rhinos	
	This combat the defending player must declare at least one blocker for each attacker if able.	Crashing Boars	
	Create a 4/1 red Giant creature token that can't block.	Craven Giant	
	Create a 2/2 black Human Knight creature token that can't block.	Craven Knight	
	Create a 6/4 green Giant creature token with trample and rampage 2. Blockers may be reassigned.	Craw Giant	
	Create a 6/4 green Wurm creature token. Blockers may be reassigned.	Craw Wurm	
	Target creature in combat gets +3/+0 and gains trample this combat. Destroy it at end of combat.	Crazed Armodon	
	Target creature in combat has flying and haste this combat.	Crazed Skirge	
	Until end of turn, whenever a creature dies, Chaos deals damage equal to that creature’s toughness to the creature’s controller.	Creature Bond	
	Destroy target artifact, enchantment, or land.	Creeping Mold	
	Creatures with mountainwalk can be blocked as though they didn't have mountainwalk this combat.	Crevasse	
	Chaos deals 1d6 damage to target creature in combat.	Crimson Hellkite	
	Create a 0/1 red Kobold creature token named Crimson Kobolds. Blockers may be reassigned.	Crimson Kobolds	
	Chaos deals 1 damage to target creature in combat.	Crimson Manticore	
	When target flying blocker blocks a creature without flying this combat, the flyer gets +1/+0 and gains first strike this combat.	Crimson Roc	
	Create a 0/1 red Kobold creature token named Crookshank Kobolds. Blockers may be reassigned.	Crookshank Kobolds	
	Chaos deals 1 damage to target creature in combat.	Crossbow Infantry	
	Target creature in combat gets +1/+0 this combat for each Mountain you control. Return an enchantment to it’s owners hand.	Crown of Flames	
	Attach target Aura attached to a creature to another creature.	Crown of the Ages	
	You may put a land card from your graveyard onto the battlefield.	Crucible of Worlds	
	Draw four cards. You lose half your life, rounded up.	Cruel Bargain	
	Target player sacrifices a creature.	Cruel Edict	
	Look at the top five cards of target opponent's library. Put one of those cards into that player's graveyard, and the rest on top of his or her library in any order.	Cruel Fate	
	Search your library for a card, then shuffle your library and put that card on top of it. You lose 2 life.	Cruel Tutor	
	Destroy target artifact. It can't be regenerated. That artifact's controller gains life equal to its converted mana cost.	Crumble	
	White creatures get +1/+1 until end of turn.	Crusade	
	Destroy target Plains or Island. Chaos deals 3 damage to that land's controller.	Cryoclasm	
	Whenever target untapped creature controlled by the active player attacks and isn't blocked, defending player gets a poison counter. (A player with ten or more poison counters loses the game.)	Crypt Cobra	
	Chaos deals 1d6 damage to each creature and each player.	Crypt Rats	
	At end of combat, your creatures phase out.	Crystal Golem	
	Gain 1 life for each blue permanent in play.	Crystal Rod	
	Choose target creature in combat. That creature can't attack or block this turn. When that creature becomes the target of a spell or ability until end of turn, exile that creature. Attackers and blockers may be reassigned.	Crystallization	
	Target opponent discards a card.	Cunning Advisor	
	If a creature is unblocked this combat, its controller may have it deal its combat damage to any creature the defending player controls.	Cunning Giant	
	Chaos deals 1 damage to any target in combat and 1 damage to any target of an opponent’s choice.	Cuombajj Witches	
	Each player returns a creature he or she controls to its owner's hand.	Curfew	
	Whenever target creature deals damage to a player, that creatures controller may draw a card.	Curiosity	
	Chaos deals 2 damage to you unless you sacrifice an artifact.	Curse Artifact	
	Tap all Islands.	Curse of Marit Lage	
	Chaos deals 1 damage to target player if they control a land.	Cursed Land	
	Target opponent discards down to 4 cards.	Cursed Rack	
	Name a card. Reveal a card at random from your hand. If it's the named card, Chaos deals 2 damage to target creature or player.	Cursed Scroll	
	Activated abilities of creatures can't be played this combat. This effect may not be responded to.	Cursed Totem	
	Return a permanent you control to its owner's hand. Target creature in combat is 0/1 this combat. At end of combat, put a +1/+1 counter on that creature.	Cycle of Life	
	Chaos deals 1d6 damage to each creature and each player.	Cyclone	
	Whenever a creature in combat is put into a graveyard from play this combat, remove it from the game.	Cyclopean Mummy	
	Target non-Swamp land is a Basic Swamp until end of turn.	Cyclopean Tomb	
	Target creature in combat has power and toughness this combat each equal to the number of lands you control.	Dakkon Blackblade	
	Create a 1/1 black Bat creature token with flying. Blockers may be reassigned.	Dakmor Bat	
	If you control a creature, all opponents lose 2 life and you gain 2 life for each opponent.	Dakmor Ghoul	
	If you control a creature, destroy target nonblack creature in combat.	Dakmor Lancer	
	Chaos deals 3 damage to each creature and each player.	Dakmor Plague	
	Create a 2/1 black Scorpion creature token. Blockers may be reassigned.	Dakmor Scorpion	
	Target creature in combat has power this combat equal to the number of Swamps you control.	Dakmor Sorceress	
	Each player taps all artifacts they control except one.	Damping Field	
	Put a token creature onto the battlefield as a copy of target nontoken creature in play. It may be added to combat. Remove the token from the game at end of combat. When the token leaves play, sacrifice an enchantment.	Dance of Many	
	Put target creature card from your graveyard onto the battlefield with a +1/+1 counter on it. It may be added to combat. At end of combat, put this creature into your graveyard.	Dance of the Dead	
	Create a 1/5 Spirit artifact creature token with flying. Blockers may be reassigned.	Dancing Scimitar	
	Creatures can't attack unless the defending player controls an Island. If you control no Islands, sacrifice a creature. Attackers and blockers may be reassigned.	Dandan	
	Sacrifice a creature. Destroy target black creature.	Daraja Griffin	
	Sacrifice a creature. Target player discards a card at random.	Daring Apprentice	
	Destroy target nonblack creature in combat. It can't be regenerated.	Dark Banishing	
	Sacrifice a Forest. Gain 3 life.	Dark Heart of the Wood	
	Target Wall controlled by the active player can attack as though it didn't have defender this combat. Remove it from the game at end of combat.	Dark Maze	
	Destroy target nonblack creature. You gain 3 life.	Dark Offering	
	Target untapped creature gets +1/+1 this combat. Sacrifice a creature. Regenerate a creature.	Dark Privilege	
	Add BBB to your mana pool. This mana doesn't empty until end of turn.	Dark Ritual	
	Tap and sacrifice a permanent. The next time a source of your choice would deal damage to you this combat, it deals half that damage, rounded up, to you instead.	Dark Sphere	
	Creatures are black this combat.	Darkest Hour	
	Choose one: Regenerate target creature in combat; or Target creature in combat gets +1/+1 this turn.	Darkling Stalker	
	All combat damage is prevented this combat.	Darkness	
	Exchange target card in exile with the top card of your library.	Darkpact	
	The next 1 damage for each Plains you control that would be dealt this combat to target white creature you control is dealt to another creature you control instead.	Daughter of Autumn	
	Sacrifice a creature you control. Creatures in combat gain indestructible until end of turn. Attackers and blockers may be reassigned.	Dauntless Escort	
	1d6 target creatures in combat gain shadow this combat.	Dauthi Embrace	
	Whenever a creature with shadow is put into a graveyard from play this combat, put a +1/+1 counter on all creatures in play with shadow.	Dauthi Ghoul	
	Creatures can't be blocked by white creatures this combat.	Dauthi Horror	
	Target creature in combat gains shadow this combat.	Dauthi Marauder	
	Target creature in combat with shadow gets +1/+0 this combat.	Dauthi Mercenary	
	Target attacking creature that isn't blocked is sacrificed. The defending player discards three cards.	Dauthi Mindripper	
	Creatures with shadow attack this combat if able.	Dauthi Slayer	
	Tap a creature you control. Chaos deals 1 damage to target untapped creature.	D'Avenant Archer	
	Target untapped creature controlled by the active player is considered blocked if it attacks this combat.	Dazzling Beauty	
	Creatures with forestwalk can be blocked as though they didn't have forestwalk this combat.	Deadfall	
	Put a card from your graveyard onto the battlefield. Target opponent discards his or her hand of cards.	Deadhead	
	Create a 6/1 green Insect creature token with shroud. Blockers may be reassigned.	Deadly Insect	
	Tap target untapped creature. It deals damage equal to its power to target creature in combat.	Deadshot	
