		Creatures you control attack each turn if able. Whenever a creature you control deals damage, you lose that much life.	Emberwilde Caliph		
		At the beginning of your upkeep, you may pay RR or 2 life. If you do, gain control of a creature you don't control.	Emberwilde Djinn		
		G: Choose one - Untap target permanent; or Destroy target non-Aura enchantment; or Target creature loses flying this turn.	Emerald Charm		
		GG: Target creature gains first strike this turn.	Emerald Dragonfly		
		Green spells cost 1 less to play.	Emerald Medallion		
1		5, Tap an untapped permanent you control: Draw two cards, then discard a card.	Emmessi Tome		
		Whenever you control only one creature, sacrifice it.	Emperor Crocodile		
		Combat phases are skipped.	Empty City Ruse		
		Creatures you control get +1/+1 for each card in your hand.	Empyrial Armor		
		Prevent all combat damage that would be dealt to creatures by enchanted creatures.	Enchanted Being		
		U: Attach target Aura attached to a creature or land to another permanent of that type.	Enchantment Alteration		
		Whenever a creature is put into a graveyard from the battlefield, return that creature to its owner's hand.	Endless Cockroaches		
		Put 1d6 Chaos counters onto the battlefield. Creatures get +1/+0 for each Chaos counter on the battlefield. When this effect leaves play, exile all Chaos counters.	Endless Scream		
		Play with your hand revealed. If you would draw a card, reveal the top card of your library instead. If it's a creature card, put it into your graveyard. Otherwise, draw a card. Whenever a creature is put into your graveyard from the battlefield, return it to your hand.	Enduring Renewal		
		2, Tap an untapped permanent you control: Put a +1/+1 counter on target creature.	Energizer		
		WU: Untap any number of target creatures. Prevent all combat damage that would be dealt to and dealt by those creatures this turn.	Energy Arc		
		XRW: Choose one - Chaos deals X damage to target player; or target player gains X life. Play this effect as a sorcery.	Energy Bolt		
		At the beginning of your upkeep, sacrifice each artifact you control unless you pay 2 for each one you want to keep.	Energy Flux		
		Prevent all damage that would be dealt by instant and sorcery spells. Creatures with flying don't untap during your untap step.	Energy Storm		
		Tap target creature you control: Add X to your mana pool, where X is that creature's converted mana cost. Play this effect as a sorcery.	Energy Tap		
		At the beginning of your upkeep, exile all Chaos counters and take 3 damage unless you pay 1 for each Chaos counter exiled this way. X: Put X Chaos counters onto the battlefield. Play this effect only at the end of your upkeep. When this effect leaves play, exile all Chaos counters.	Energy Vortex		
		1U: Tap target artifact, creature, or land. Draw a card.	Enervate		
		Creatures get -2/-2.	Enfeeblement		
		As this effect comes onto the battlefield, each player chooses a creature type. All creatures of the chosen type get -1/-1 until this effect leaves play.	Engineered Plague		
		Whenever a creature is put into your graveyard from the battlefield, put it into your library third from the top. Cascade the first spell you cast during your turn.	Enigma Sphinx		
		W: Search your library for an artifact or enchantment card and reveal that card. Shuffle your library, then put the card on top of it.	Enlightened Tutor		
		Cascade the first spell you play during your turn.	Enlisted Wurm		
		At the beginning of your upkeep, create a 7/7 green Beast creature token.	Enormous Baloth		
		XR: Target creature gets +X/+0 this turn.	Enrage		
		R, Tap an untapped creature you control: That creature becomes an Aura enchantment with enchant creature. Attach it to target creature. You may pay R to end this effect. Enchanted creature has haste.	Enraging Licid		
		Creatures have mountainwalk.	Enslaved Scout		
		Creatures cannot attack unless their power is less than or equal to the number of cards in the hand of the player with the least amount of cards.	Ensnaring Bridge		
		Whenever you play a creature spell, you may pay 1. If you do, return target creature to its owner's hand.	Equilibrium		
		Tap an untapped land you control: Counter target spell if it would destroy a land you control.	Equinox		
		At the beginning of your upkeep, for each artifact target player controls in excess of the number you control, choose an artifact he or she controls. Repeat this process for creatures and lands. The chosen permanents phase out.	Equipoise		
		At the beginning of your end step, if each creature you control didn't attack this turn, Chaos deals 2 damage to you for each creature that didn't unless it came under your control this turn.	Erg Raiders		
		At the beginning of your upkeep, target non-Wall creature an opponent controls gains forestwalk until your next upkeep.	Erhnam Djinn		
		At the beginning of your upkeep, create a 5/2 red Human Rogue creature token with haste and 3: Regenerate.	Eron the Relentless		
		At the beginning of your upkeep, for each land you control, pay 1 or 1 life. If you don't, sacrifice that land.	Erosion		
		At the beginning of your upkeep, create a 1/1 white Knight creature token with banding.	Errand of Duty		
		At the beginning of your upkeep, if you control a creature, you pay 1 or 2. Chaos deals damage to you equal to 2 minus the amount of mana paid this way.	Errant Minion		
		Creatures get +3/+0 and can only attack alone.	Errantry		
		Play this effect only once per turn. Tap an untapped creature you control: Choose one - Target spell is colorless; or Target permanent becomes colorless this turn.	Ersatz Gnomes		
		Whenever a creature you control phases out or leaves the battlefield, put the top three cards of your library into your graveyard. U: Until your next upkeep, target creature you control can't phase out.	Ertai's Familiar		
		XU: X can't be 0. Target spell's controller exiles it with X Chaos counters on it. At the beginning of each of that player's upkeeps, if that card is exiled, remove a Chaos counter from it. If the card has no Chaos counters on it, he or she puts it onto the stack as a copy of the original spell. When this effect leaves play, exile all Chaos counters.	Ertai's Meddling		
		As long as a player controls a creature with flying, first strike, trample, and/or protection from any color, all creatures get that ability.	Escaped Shapeshifter		
		Creatures have cycling 3. Whenever you cycle a creature or a creature you control dies, you may tap or untap target permanent.	Esper Sojourners		
		As long as you control a multicolored permanent, creatures you control get +1/+1 and have flying.	Esper Stormblade		
		3, Tap an untapped permanent you control: Put a Chaos counter on it. Tap an untapped permanent you control with Chaos counters, Remove all Chaos counters from that permanent: You gain 2 life for each Chaos counter removed this way. When this effect leaves play, exile all Chaos counters.	Essence Bottle		
		At the beginning of your upkeep, Chaos deals 3 damage to target creature or player and you gain 3 life.	Essence Drain		
		1GG: Choose one - Destroy all enchantments; or destroy all nonwhite enchantments. Play this effect as a sorcery.	Essence Filter		
		Creatures get +2/+0. At the beginning of your upkeep, put a -0/-1 counter on your creatures.	Essence Flare		
		1UB: Destroy target creature unless its controller pays life equal to its toughness. A creature destroyed this way can't be regenerated.	Essence Vortex		
		2RR: Chaos deals X damage to target opponent, where X is the number of Mountains you control. It deals half X damage, rounded up, to you.	Eternal Flame		
		Creatures have vigilance.	Eternal Warrior		
1		3U: Put target creature on top of its owner's library. If that creature is red, you may put it on the bottom of its owner's library instead.	Ether Well		
		At the beginning of your upkeep, create a 1/3 white and blue Human Knight artifact creature token with exalted.	Ethercaste Knight		
		Pay 1 life: Prevent the next 1 damage that would be dealt to target creature you control this turn.	Ethereal Champion		
		At the beginning of your upkeep, create a 4/3 Horror artifact creature. Creatures in graveyards have Unearth 3.	Etherium Abomination		
		Creatures have flash. Whenever a creature enters the battlefield, prevent all damage that would be dealt to artifact creatures this turn.	Ethersworn Shieldmage		
		At the beginning of your upkeep, choose one — You gain 2 life; or Surveil 1; or each opponent loses 1 life.	Etherwrought Page		
		2R: Target opponent chooses a creature he or she controls. Other creatures he or she controls can't block this turn. Play this effect as a sorcery.	Eunuchs' Intrigues		
		You may put permanents from your hand onto the battlefield without paying their mana cost.	Eureka		
		3UU: Return all creatures to their owners' hands.	Evacuation		
		2R: Chaos deals 1 damage to each creature that's white or blue. Play this effect as a sorcery.	Evaporate		
		Creatures can't be blocked except by Walls.	Evil Eye of Orms-by-Gore		
		Lands are basic Swamps.	Evil Presence		
		2BB: Chaos deals 2 damage to each creature and each player. Play this effect as a sorcery.	Evincar's Justice		
		Tap an untapped permanent you control, Sacrifice a land: Target creature gains landwalk of each of the land types of the sacrificed land until end of turn.	Excavator		
		2B: Destroy target white creature. It can't be regenerated. Draw a card.	Execute		
		Creatures and lands don't untap during players untap steps.	Exhaustion		
		1B: Each player puts a creature card from his or her graveyard onto the battlefield. Play this effect as a sorcery.	Exhume		
		2W: Remove target nonwhite attacking creature from the game. You gain life equal to its toughness.	Exile		
		1W, Tap an untapped creature you control: Destroy target black creature.	Exorcist		
		4B: Destroy all creatures of the creature type of your choice. Play this effect as a sorcery.	Extinction		
		1U: Counter target sorcery spell.	Extinguish		
		2: The next time a source of your choice would deal damage to you this turn, instead that source deals that much damage to you and Chaos deals that much damage to that source’s controller.	Eye for an Eye		
		When this effect comes into play, destroy each permanent with the same name as another permanent, except for basic lands. They can't be regenerated. Whenever a permanent other than a basic land comes onto the battlefield, destroy all other permanents with that name. They can't be regenerated.	Eye of Singularity		
		U: Look at the top card of target player's library. You may put that card into his or her graveyard. Play this effect as a sorcery.	Eye Spy		
		1U: Target land you control becomes a 2/1 blue Faerie creature with flying this turn. It's still a land.	Faerie Conclave		
		Faerie creatures get +0/+1. Tap an untapped creature you control: Faerie creatures you control get +1/+0 until end of turn. Play this effect only once per turn.	Faerie Noble		
		Sacrifice a creature: Creatures you control get +2/+1 until end of turn.	Fallen Angel		
		Creatures can't block.	Fallen Askari		
		2R: Roll 1d6-1. Chaos taps and deals 3 damage to that many creature cards in play that are within a card length of the first card dealt damage this way. Play this effect as a sorcery. Players may not move their cards other than tapping while this effect is in play.	Falling Star		
		2G: Put target land on top of its owner's library. Play this effect as a sorcery.	Fallow Earth		
		Whenever a creature enters the battlefield under your control, sacrifice it unless you discard a land card.	Fallow Wurm		
		3W: Return target creature card from your graveyard to the battlefield. Play this effect as a sorcery and only once per turn. 	False Defeat		
		Whenever a creature you control is put into a graveyard, return that card to the battlefield.	False Demise		
		G: Put target card from your graveyard on top of your library. Play this effect as a sorcery.	False Mourning		
		If you attack and blockers are declared, you assign the blockers instead of the defending player.	False Orders		
		Skip all combat phases.	False Peace		
		1U: Counter target creature spell.	False Summoning		
		Creatures can't be blocked by more than one creature.	Familiar Ground		
		3BB: Chaos deals 3 damage to each creature and each player. Play this effect as a sorcery and only once per turn.	Famine		
		Creatures get +3/+0 and trample.	Fanatical Fever		
		At the beginning of your upkeep, you may pay 2. If you do, you gain 1 life.	Farmstead		
		1: Add W to your mana pool. At the end of any turn, if this effect has been played four or more times by a single player during the turn, that player sacrifices a permanent.	Farrelite Priest		
		Whenever a creature you control attacks and isn't blocked, you may have it deal X plus 2 damage to target creature, where X is the attacking creature's power. If you do, that creature deals no combat damage this turn.	Farrel's Mantle		
		Whenever a creature you control attacks and isn't blocked, you may have it deal 3 damage to target creature. If you do, that creature deals no combat damage this turn.	Farrel's Zealot		
		You may play as many lands as you choose on your turn. Whenever you play a land other than the first land of the turn, Chaos deals 1 damage to you.	Fastbond		
		Skip your draw step and gain 2 life. Whenever you draw a card, sacrifice an enchantment.	Fasting		
		Destroy creatures that are dealt damage. They can't be regenerated.	Fatal Blow		
		2BB: An opponent chooses one - You draw three cards; or you destroy up to two target creatures that opponent controls and that player draws up to three cards. Those creatures can't be regenerated. Play this effect as a sorcery.	Fatal Lore		
		Creatures get +1/+2 as long as they are white. Creatures you control have shroud as long as you control another creature.	Favorable Destiny		
		Creatures have fear.	Fear		
		Creatures have +4/+0.	Feast of the Unicorn		
		3B: Choose one - Create a 2/2 black Zombie creature token; or destroy target nonblack, nonartifact creature and it can't be regenerated.	Feast or Famine		
		Whenever a creature is put into a graveyard from the battlefield, that creature's controller may draw a card.	Fecundity		
		At the beginning of your upkeep, Chaos deals 1 point of damage to you for each enchantment you control.	Feedback		
		R: Tap all creatures blocking target attacking creature. Prevent all combat damage this turn that would be dealt by that creature and all creatures blocking it.	Feint		
		Tap and exile a permanent you control: Shuffle your graveyard into your library.	Feldon's Cane		
		Tap an untapped permanent you control: Add to your mana pool one mana of any color that a land an opponent controls could produce. Play this effect only once per turn.	Fellwar Stone		
		Tap an untapped creature you control: That creature deals 4 damage to target attacking creature with flying. Play this effect only once per turn.	Femeref Archers		
		Whenever an enchantment is put into a graveyard from the battlefield, draw a card.	Femeref Enchantress		
		Tap an untapped creature you control: Prevent the next 1 damage that would be dealt to target creature or player this turn. Play this effect only once per turn.	Femeref Healer		
		W: Creatures you control gain vigilance this turn.	Femeref Knight		
		At the beginning of your upkeep, create a 1/4 white Human Scout creature token.	Femeref Scouts		
		1G: Target creature gets +1/+1 this turn. Draw a card.	Feral Instinct		
		At the beginning of your upkeep, create a 2/1 black Nightstalker creature token with flying.	Feral Shadow		
		At the beginning of your upkeep, put a Chaos counter on a creature you control. Remove three Chaos counters from a creature you control: Regenerate target creature. When this effect leaves play, exile all Chaos counters.	Feral Thallid		
		Creature spells cost 2 more to play.	Feroz's Ban		
		Whenever a land is tapped for mana, its controller adds one mana of any color to his or her mana pool.	Fertile Ground		
		Creatures have haste.	Fervor		
		At the beginning of your upkeep, Chaos deals 1 damage to each creature and each player. BB, Sacrifice an enchantment: Chaos deals 3 damage to each creature and each player. Play this effect only once per turn.	Festering Evil		
		Whenever a creature is put into a graveyard from the battlefield, all creatures get -1/-1 until end of turn.	Festering Goblin		
		W: Creatures can't attack this turn. Play this effect only during an opponent's upkeep. 	Festival		
		W: You gain 2 life for each creature you control. Play this effect as a sorcery and only once per turn.	Festival of Trokin		
		B: Creatures you control get +1/+1 this turn.	Fetid Horror		
		2BB: Put a -1/-1 counter on target creature.	Fevered Convulsions		
		2B: Target creature gets +2/+0 until end of turn. Draw a card.	Fevered Strength		
		Soldier creatures get +1/+1 and have first strike.	Field Marshal		
		Players play with the top card of their libraries revealed.	Field of Dreams		
		Whenever a nontoken creature is put into your graveyard from the battlefield, Create a 1/1 white Spirit creature token with flying.	Field of Souls		
		During your turn, you may pay 1 and return a basic land you control to its owner's hand to put an artifact onto the battlefield tapped rather than pay its mana cost. Artifacts may be tapped to produce W or U anytime.	Fieldmist Borderpost		
		At the beginning of your upkeep Chaos deals 5 damage divided as you choose among any number of target creatures and/or players and target opponent gains 5 life.	Fiery Justice		
		Whenever a creature blocks or becomes blocked, destroy it.	Fight to the Death		
		Blue creatures have flying.	Fighting Drake		
		Whenever a creature enters the battlefield under your control, you gain 3 life for each artifact you control. Creatures you control have flying on your turn.	Filigree Angel		
		RR: Take an extra turn after this one. At the end of that turn, you lose the game.	Final Fortune		
		At the end of each players turn, that player loses life equal to the damage already dealt to him or her this turn.	Final Punishment		
		Sacrifice a creature: Chaos deals damage to target opponent equal to the sacrificed creature's power.	Final Strike		
		Exalted. Whenever a creature you control attacks alone, if it's the first combat phase of the turn, untap that creature. After this phase, there is an additional combat phase.	Finest Hour		
		At the beginning of your upkeep Chaos deals 3 damage to target creature or player.	Fire Ambush		
		3WW: Chaos deals 4 damage to target player who declared an attacking creature this turn and 4 damage to you.	Fire and Brimstone		
		Tap an untapped creature you control: That creature deals 1 damage to each other creature without flying. Play this effect only once per turn.	Fire Ants		
		Sacrifice a creature: Chaos deals 1 damage to target creature or player. Play this effect as a sorcery, before the combat phase.	Fire Bowman		
		1BR, Pay X life: Chaos deals X damage divided as you choose among any number of target creatures.	Fire Covenant		
		Tap an untapped permanent you control: Add R to your mana pool. Play this effect only once per turn.	Fire Diamond		
		Whenever a creature enters the battlefield under your control, it deals damage equal to the number of Mountains you control to target creature.	Fire Dragon		
		Creatures have +1/+0.	Fire Drake		
		At the beginning of your upkeep create a 5/4 red Elemental creature token.	Fire Elemental		
		Whenever a creature enters the battlefield under your control, it deals 2 damage to target creature.	Fire Imp		
		Whenever a creature you control is put into a graveyard from the battlefield, destroy target land.	Fire Snake		
		G, Tap an untapped creature you control: Add R to your mana pool.	Fire Sprites		
		At the beginning of your upkeep Chaos deals 6 damage to each creature and each player.	Fire Tempest		
		Tap an untapped creature you control: That creature deals 1 damage to target creature or player. Play this effect only once per turn. Sacrifice a permanent: Chaos deals 1 damage to target creature or player. Play this effect only once per turn.	Fire Whip		
		At the beginning of your upkeep, Chaos deals X damage where X=the number of lands you control, divided evenly, rounded down, among any number of targets. Chaos deals 1 damage less for each target beyond the first.	Fireball		
		4RR; or Sacrifice two Mountains: Chaos deals 4 damage to target creature or player.	Fireblast		
		Creatures have +1/+0 for each land controlled by their controller.	Firebreathing		
		Creatures have +1/+0.	Firefly		
		Tap an untapped creature you control: It deals 1 damage to target creature or player and 1 damage to you.	Fireslinger		
		Discard X cards: Chaos deals X damage to each of X target creatures and/or players.	Firestorm		
		At the beginning of your upkeep, create a 6/6 blue and red Dragon creature token with flying, trample, and cumulative upkeep 2.	Firestorm Hellkite		
		If a creature you control would be put into a graveyard from the battlefield, return it to its owner's hand instead. It can't be played again until its owner's next turn.	Firestorm Phoenix		
		During your turn, you may pay 1 and return a basic land you control to its owner's hand to put an artifact onto the battlefield tapped rather than pay its mana cost. Artifacts may be tapped to produce R or G anytime.	Firewild Borderpost		
		Creatures have islandwalk.	Fishliver Oil		
		3RR: Destroy target creature or land. It can't be regenerated.	Fissure		
		1R: Target creature gets +4/+0 until end of turn.	Fists of the Anvil		
		1R: Target creature gets +3/+3 and gains first strike until end of turn. Play this effect as a sorcery.	Fit of Rage		
		When a green creature blocks or becomes blocked by a nongreen creature, the nongreen creature gets +1/+1 until end of turn.	Flailing Drake		
		R, Tap and sacrifice a creature: That creature deals damage equal to its power to target creature. Play this effect as a sorcery and only once per turn.	Flame Elemental		
		R: Target creature you control gets +1/+0 until end of turn.	Flame Spirit		
		3RRRR: Chaos deals 4 damage to each player and each creature.	Flame Wave		
		7R: Chaos deals 5 damage to target player.	Flamewave Invoker		
		Whenever a creature you control attacks, you may tap target creature.	Flanking Troops		
		2R: Chaos deals 1 damage to target creature or player. Draw a card.	Flare		
		1U: Put a creature card from your hand onto the battlefield. Sacrifice it unless you pay its mana cost reduced by up to 2.	Flash		
		1U: Counter target instant spell.	Flash Counter		
		U: Choose one - Destroy target red permanent; or return target Mountain to its owner's hand.	Flash Flood		
		At the beginning of your upkeep, destroy all Plains.	Flashfires		
		1U: Counter target red or green spell.	Flashfreeze		
		At the beginning of your upkeep, each creature you control deals 1 damage to you.	Fledgling Djinn		
		Attacking creatures can't be blocked by creatures with power 2 or greater.	Fleet-Footed Monk		
		1U: Return target creature you control to its owner's hand.	Fleeting Image		
		As this effect comes into play, roll 1d6 for a color. 1-Colorless, 2-Black, 3-Blue, 4-Green, 5-Red, 6-White. Creatures have protection from the rolled color. W: Reroll 1d6 for a new color.	Flickering Ward		
		Creatures you control have flying on your turn.	Flight		
		XGG: Roll X six-sided dice; For each even roll, create a 2/2 green Rabid Sheep token.	Flock of Rabid Sheep		
		UU: Tap target creature without flying.	Flood		
		Lands enter the battlefield tapped. Tap and sacrifice a land: Search your library for a Plains or Island card and put it onto the battlefield. Then shuffle your library. Play this effect as a sorcery and only once per turn.	Flood Plain		
		UU, Return two Islands you control to their owner's hand: Return target creature to its owner's hand.	Flooded Shoreline		
		Green creatures you control can't attack unless you sacrifice a land.	Flooded Woodlands		
		Whenever a creature you control has flying, sacrifice it. Whenever a creature you control leaves the battlefield, it deals 1 damage for every two Islands you control to each nonblue creature without flying.	Floodgate		
		XX1, Tap an untapped permanent you control: Tap X target lands. Play this effect only once per turn.	Floodwater Dam		
		Whenever a creature you control attacks and isn't blocked, you may destroy target artifact defending player controls. If you do, that creature deals no combat damage this turn.	Floral Spuzzem		
		Creatures can't be blocked by non-Wall creatures.	Flow of Maggots		
		R: Creatures you control get +1/-1 this turn.	Flowstone Crusher		
		Creatures have +2/-2.	Flowstone Giant		
		R: Target creature deals 1 damage to target creature blocking it.	Flowstone Salamander		
		2, Discard a card: Put a +1/+1 counter on a creature you control or target creature gains flying, first strike, or trample. (This effect is permanent.)	Flowstone Sculpture		
		R: Target creature you control gets +1/-1 until end of turn.	Flowstone Shambler		
		X2RR: All creatures get +X/-X until end of turn. Play this effect as a sorcery.	Flowstone Slide		
		R: Target creature you control gets +2/-2 until end of turn.	Flowstone Wyvern		
		At the beginning of your upkeep, create X 1/1 white Bird Soldier creature tokens with flying, where X is the number of creatures you control.	Flurry of Wings		
		At the beginning of your upkeep, each player discards any number of cards, then draws that many cards. Draw a card.	Flux		
		2: Target creature gains flying until end of turn.	Flying Carpet		
		At the beginning of your upkeep, create a 1/1 blue Human creature token with flying.	Flying Men		
		4, Tap and sacrifice a creature: Chaos deals 4 damage to target creature.	Fodder Cannon		
		Prevent all combat damage.	Fog		
		Whenever a creature attacks or blocks, sacrifice it at end of combat.	Fog Elemental		
		Whenever a creature blocks, it gets +2/+0 until end of turn.	Folk of An-Havva		
		1G: Target creature you control gets +1/+0 until end of turn.	Folk of the Pines		
		2, Tap an untapped permanent you control: Draw a card. Play this effect only if you have no cards in hand.	Fool's Tome		
		At the beginning of your upkeep, create a 2/4 white Human Soldier creature token.	Foot Soldiers		
		G, Sacrifice a Forest: Target creature gets +2/+2 this turn.	Foratog		
		If you would draw a card, return a card from your graveyard to your hand instead. If you can't, you lose the game. If a card would be put into your graveyard, exile that card instead.	Forbidden Crypt		
		Creatures get +2/+1.	Forbidden Lore		
		Sacrifice a nontoken permanent: Target opponent loses 2 life unless he or she sacrifices a permanent or discards a card. Play this effect as a sorcery.	Forbidden Ritual		
		1W: Target land you control becomes a 1/5 white Soldier creature until end of turn. It's still a land.	Forbidding Watchtower		
		Creatures have trample. At the beginning of your upkeep, Chaos deals eight damage to you unless you pay 4.	Force of Nature		
		3UU or Pay 1 life and exile a blue card from your hand: Counter target spell.	Force of Will		
		U: Counter target spell unless its controller pays 1.	Force Spike		
		2U: Counter target spell unless its controller pays 1. Draw a card.	Force Void		
		2U: Put target creature on top of its owner's library. Play this effect as a sorcery.	Forced Retreat		
		The next time target unblocked creature would deal combat damage to you, prevent all but 1 of that damage.	Forcefield		
		1U: Name a card, then put the top card of target opponent's library into his or her graveyard. If that card is the named card, draw a card. Draw a card.	Foreshadow		
		1U: Search your library for three cards, exile them, then shuffle your library. Draw a card.	Foresight		
		At the beginning of your upkeep, create a 2/2 green Bear creature token.	Forest Bear		
		At the beginning of your upkeep, sacrifice a permanent unless you pay 3. If an instant or sorcery spell would deal 3 or more damage to you, it deals 2 damage to you instead.	Forethought Amulet		
		UU: Target player discards two cards, then draws as many cards as he or she discarded this way. Play this effect as a sorcery.	Forget		
		G: Target opponent chooses a card in your graveyard. You may pay G. If you do, repeat this process except that opponent can't choose a card already chosen this activation. Then put the last chosen card into your hand. Play this effect as a sorcery.	Forgotten Lore		
		Creatures can block an additional creature.	Foriysian Brigade		
		2: Copy target instant or sorcery spell. It becomes red. You may choose new targets for the copy. Play this effect only once per turn.	Fork		
		3R: Chaos deals 4 damage divided as you choose among one, two, or three target creatures. Play this effect as a sorcery.	Forked Lightning		
		At the beginning of each players upkeep, Chaos deals 5 damage to target creature or player. At the end of each players turn, their life total becomes 5. Creatures without flying can't attack.	Form of the Dragon		
		1W: Target creature gains banding until end of turn. Draw a card.	Formation		
		Players can't gain life. At the beginning of your upkeep, you lose 1 life. Whenever a permanent you control becomes the target of a spell, that spell's controller loses 5 life.	Forsaken Wastes		
		Wall creatures get +1/+0 and have banding.	Fortified Area		
		B, Pay 1 life: Return a creature you control to its owner's hand.	Foul Familiar		
		Whenever a creature enters the battlefield under your control, you lose 2 life.	Foul Imp		
		Whenever a creature enters the battlefield under your control, sacrifice a land.	Foul Spirit		
		2, Tap an untapped permanent you control: Gain 1 life. Play this effect only once per turn.	Fountain of Youth		
		2U: Target creature loses all abilities and is a 1/1 creature that counts as a Chicken. Play this effect as a sorcery.	Fowl Play		
		Creatures have vigilance. Prevent all combat damage. Draw a card at the beginning of your upkeep.	Foxfire		
		Whenever a creature enters the battlefield under your control, exile X creature cards from your graveyard where X is the creatures converted mana cost. If you can't, put that creature into its owner's graveyard instead of onto the battlefield. For each creature card exiled this way, that creature enters the battlefield with a +2/+0, +1/+1, or +0/+2 counter.	Frankenstein's Monster		
		When this effect comes into play set aside all creatures on the battlefield face down. During each player's upkeep, that player chooses a creature card at random from those set aside in this way and puts that creature onto the battlefield under his or her control. If this effect leaves play, put each creature still set aside this way into its owner's graveyard.	Free-for-All		
		1G: Roll two six-sided dice. If both die rolls are the same, creatures you control get +X/+X until end of turn, where X is the number rolled on each die. Otherwise, if the total rolled is equal to any other total you have rolled this turn for this effect, sacrifice your creatures. (For example, if you roll two 3s, your creatures get +3/+3. If you roll a total of 6 for this effect later in that turn, sacrifice them.)	Free-Range Chicken		
		At the beginning of your upkeep, create a 1/1 white Bird creature token with flying and protection from red.	Freewind Falcon		
		0: If you control a creature, roll 1d6. If the roll is even, target creature you control phases out. If the roll is odd, sacrifice a creature.	Frenetic Efreet		
		Tap an untapped creature you control, Sacrifice a red or white creature: Chaos deals damage to target creature or player equal to half the sacrificed creature's power, rounded down. Play this effect only once per turn.	Freyalise Supplicant		
		Whenever an opponent plays a black spell, you may pay GG. If you do, you draw a card.	Freyalise's Charm		
		Whenever a permanent you control becomes tapped, put a Chaos counter on it. Permanents with Chaos counters don't untap during your untap step. At the beginning of your upkeep, exile a Chaos counter from each permanent you control. When this effect leaves play, exile all Chaos counters.	Freyalise's Winds		
		When this effect comes into play, each player draws a card. Creatures have reach.	Frog Tongue		
		At the beginning of your upkeep, create a 4/4 red Giant creature token with rampage 2.	Frost Giant		
		At the beginning of your upkeep, create a 0/1 black Shade creature token with 1: This creature gets +1/+1 until end of turn.	Frozen Shade		
		G: You gain 1 life for each Forest in play. Play this effect as a sorcery.	Fruition		
		Whenever a creature you control becomes the target of an Aura spell, you draw a card.	Fugitive Druid		
		At the beginning of your upkeep, create a 1/1 blue Human Wizard creature token.	Fugitive Wizard		
		3BB: Target player discards three cards. Play this effect as a sorcery.	Fugue		
		Pay 3 life: Destroy target creature and target land. Play this effect as a sorcery.	Fumarole		
		B: Choose one - Target player discards a card; or Target creature gets +2/-1 this turn; or Target creature gains swampwalk this turn.	Funeral Charm		
		Whenever a creature leaves the battlefield, its controller sacrifices a creature.	Funeral March		
		GG: Choose one - Gain 2 life; or Regenerate target creature; or Create a 1/1 green Saproling creature token.	Fungal Bloom		
		G, Sacrifice a Forest: Put a +2/+2 counter on a creature that entered the battlefield this turn.	Fungus Elemental		
		Whenever a creature is dealt damage, put a +1/+1 counter on it.	Fungusaur		
		If a source would deal damage to a creature or player, it deals double that damage to that creature or player instead.	Furnace of Rath		
		R: Target creature gets +1/+0 until end of turn.	Furnace Whelp		
		Creatures can't be blocked by blue creatures. U: Target creature becomes blue until end of turn. 	Fylamarid		
		Each player puts four Chaos counters onto the battlefield under his control. Exile a Chaos counter you control: Prevent the next 1 damage that would be dealt to target creature this turn. 2W: Put a Chaos counter onto the battlefield. When this effect leaves play, exile all Chaos counters.	Fylgja		
		3, Tap an untapped permanent you control: Target creature gains first strike until end of turn.	Fyndhorn Bow		
		2G, Tap an untapped creature you control: Untap target creature. Play this effect only once per turn.	Fyndhorn Brownie		
		Whenever a creature you control is put into a graveyard from the battlefield, if it was blocked this turn, you gain 4 life.	Fyndhorn Druid		
		Tap an untapped creature you control: Add GG to your mana pool. Play this effect only once per turn.	Fyndhorn Elder		
		Tap an untapped creature you control: Add G to your mana pool. Play this effect only once per turn.	Fyndhorn Elves		
		Creatures get -1/-0. 1G: Creatures get -1/-0 until end of turn.	Fyndhorn Pollen		
		At the beginning of your upkeep, choose flying, first strike, trample, or rampage 3. Your creatures gain that ability until your next upkeep.	Gabriel Angelfire		
		Your creatures have power and toughness each equal to 1 plus the number of artifacts your opponents control.	Gaea's Avenger		
		1G: Target player shuffles up to three target cards from his or her graveyard into his or her library. Draw a card.	Gaea's Blessing		
		Creature spells can't be countered.	Gaea's Herald		
		At the beginning of your upkeep, target land becomes a Basic Forest until this effect leaves play. Attacking creatures have power and toughness each equal to the number of Forests defending player controls. Defending creatures have power and toughness each equal to the number of Forests the attacking player controls.	Gaea's Liege		
		You may play an additional land during your turn if that land is a basic Forest. Sacrifice an enchantment: Add GG to your mana pool.	Gaea's Touch		
		1W: Target blocking creature gets +4/+4 until end of turn. Draw a card. Play this effect only once per turn.	Gallantry		
		Creatures have trample and Cumulative upkeep-Pay 1 life.	Gallowbraid		
		RRR: Roll 1d6. If the number is even, you gain 1 life and target opponent loses 1 life, and you decide whether to roll again. If the number is odd, you lose 1 life and that opponent gains 1 life, and that player decides whether to roll again. Double the life stakes with each roll. Play this effect as a sorcery.	Game of Chaos		
		Creatures you control have rampage 2 during your turn.	Gang of Elk		
		Tap and sacrifice a creature: That creature deals 1 damage to each creature and each player. If you control a snow Swamp, that creature deals 2 damage to each creature and each player instead. Play this effect as a sorcery and only once per turn.	Gangrenous Zombies		
