	Remove the top card of your library from the game. If that card is a land card, target creature you control gets -4/-0 this turn. Otherwise, it gets +2/+0 this turn.	Chaos Harlequin	
	If the number of permanents is even, gain control of a creature of your choice. That creature has haste this turn.	Chaos Lord	
	Count the number of permanents. If the number is odd, until end of turn, red creatures get +1/+1 and whenever a player taps a Mountain for mana, that player adds R to his or her mana pool. If the number is even, until end of turn, red creatures get -1/-1 and if a player taps a Mountain for mana, that Mountain produces colorless mana instead of any other type.	Chaos Moon	
	Sacrifice a permanent you control: Flip that card onto the battlefield from a height of at least one foot. If that card turns over completely at least once during the flip, destroy all nontoken permanents it touches. Then destroy the flipped card. Players may not move their cards other than tapping until this effect resolves.	Chaos Orb	
	Target permanent becomes red permanently. (Its mana symbols remain unchanged.)	Chaoslace	
	Creatures with flying can't block creatures without flying and creatures without flying have reach this turn.	Chaosphere	
	Put three +1/+1 counters on target creature you control. Roll 1d6. Then roll that many d6's. Each d6 rolled does the following: If the roll is even, add a +1/+1 counter to a creature you control. If the roll is odd, remove a +1/+1 counter from a creature you control.	Chaotic Goo	
	Tap a noncreature permanent you control. Add B to your mana pool. This mana doesn't empty until end of turn.	Charcoal Diamond	
	Whenever a creature attacks, it gets +2/+0 this turn.	Charging Bandits	
	Whenever a creature attacks, it gets +0/+3 this turn.	Charging Paladin	
	Target creature you control can't be blocked by more than one creature this turn.	Charging Rhino	
	Target creature you control gains flying and its toughness becomes 1 this turn.	Chariot of the Sun	
	When a card comes onto the battlefield this turn, choose a color and balance the card on your head. Prevent all damage to you from the chosen color. If the card falls off, sacrifice it and the prevention ends.	Charm School	
	Once attackers are declared for the turn, destroy target attacking creature. You gain life equal to its power.	Chastise	
	Whenever any spell is played this turn, counter that spell if each player, other than the caster and his or her teammates, agrees to choose and discard a card. Those players must discard those cards after agreeing. This effect may be used only in a game with three or more players.	Checks and Balances	
	Tap a Chicken you control. Roll a six-sided die. If a 6 is rolled, put a +1/+1 counter on each Chicken in play.	Chicken à la King	
	Roll a six-sided die. On a 6, sacrifice a creature and create a 4/4 red Giant Chicken token.	Chicken Egg	
	Red spells cost 2 more to play this turn.	Chill	
	Choose one - Target permanent you control becomes a 2/1 Construct artifact creature with flying this turn; or Target permanent you control becomes a 3/2 Construct artifact creature without flying this turn.	Chimeric Sphere	
	Target creature you control gets +X/+X this turn where X=the number of lands you control.	Chimeric Staff	
	Your Islands don't untap during your untap step this turn.	Choke	
	Destroy target non-Swamp land. If that land was nonbasic, Chaos deals 2 damage to the land's controller.	Choking Sands	
	If you attack this turn, 1d6 attacking creatures become blocked. Chaos deals 1 damage to each of those creatures. (This effect works on unblockable creatures.)	Choking Vines	
	Prevent all damage that would be dealt to target creature you control this turn.	Cho-Manno, Revolutionary	
	Creatures you control get +1/+0 this turn.	Chorus of Woe	
	Roll 1d6. 1-Colorless, 2-Black, 3-Blue, 4-Green, 5-Red, 6-White. Put a Chaos Counter onto the battlefield. Prevent all damage that would be dealt to creatures by a source of the last color rolled. X: Put a Chaos Counter onto the battlefield and roll 1d6 for the color. X is the number of Chaos Counters in play. At end of turn, remove all Chaos Counters from the game.	Chromatic Armor	
	Tap a non-creature permanent you control. Sacrifice a non-creature permanent you control. Add one mana of any color to your mana pool. Draw a card.	Chromatic Star	
	Sacrifice a creature unless you pay WUB during your upkeep. Target creature you control has flying and rampage 2 this turn.	Chromium	
	Target creature you control gets +3/+3 this turn. Skip your next turn.	Chronatog	
	Target creature you control gets +2/+2 this turn if it becomes blocked.	Chub Toad	
	Destroy target creature. If a white creature is put into a graveyard this way, Chaos deals damage to that creature's controller equal to the creature's power.	Cinder Cloud	
	Target creature you control deals 2 damage to each other creature you control.	Cinder Giant	
	Chaos deals 7 damage to target creature or player.	Cinder Storm	
	When a creature with defender blocks this turn, destroy the blocked creature at end of combat.	Cinder Wall	
	Sacrifice a creature. The next time a source of your choice would deal damage to target creature or player this turn, prevent that damage.	Circle of Despair	
	Prevent all damage that would be dealt by colorless sources this turn.	Circle of Protection: Artifacts	
	Prevent all damage that would be dealt by black sources this turn.	Circle of Protection: Black	
	Prevent all damage that would be dealt by blue sources this turn.	Circle of Protection: Blue	
	Prevent all damage that would be dealt by green sources this turn.	Circle of Protection: Green	
	Prevent all damage that would be dealt by red sources this turn.	Circle of Protection: Red	
	Prevent all damage that would be dealt by shadow sources this turn.	Circle of Protection: Shadow 	
	Prevent all damage that would be dealt by white sources this turn.	Circle of Protection: White	
	Sacrifice a creature unless you remove the top creature card in your graveyard from the game.	Circling Vultures	
	Put a +1/+1 counter on a creature you control for each artifact controlled by target opponent.	Citanul Druid	
	Search your library for a creature card with converted mana cost 1d6 or less, reveal it, and put it into your hand. Then shuffle your library.	Citanul Flute	
	Whenever one or more other nontoken permanents with a name originally printed in the Arabian Nights expansion are on the battlefield, their controllers sacrifice them. Players can’t cast spells or play lands with a name originally printed in the Arabian Nights expansion this turn.	City in a Bottle	
	Remove 1d6 creatures you control from the game. Add 1d6 to your mana pool.	City of Shadows	
	Other players cannot play spells and activated abilities this turn. This effect may not be responded to.	City of Solitude	
	Choose one - Target creature you control gets +0/+1 this turn; or Put target creature you control on top of its owner's library.	Civic Guildmage	
	Search your library for a basic land card, reveal it, and put it into your hand. Then shuffle your library.	Civic Wayfinder	
	Look at target player's hand. Draw a card.	Clairvoyance	
	Choose a word. Each player, starting with you, in turn order, must sing at least six words of a song, one of which must be the chosen word, or that player sacrifices a permanent and this effect ends. A song may not be repeated.	Clam Session	
	If a creature you control damages any player this turn, choose an artifact, creature, or land you control. The player damaged gains control of that artifact, creature, or land.	Clambassadors	
	Roll your Chaos roll again. The new effect happens. If you roll a 3, you may reroll that die.	Clam-I-Am	
	Throw a creature card you control into the air at least two feet above your head while seated. Attempt to catch it with one hand. If you catch it, prevent all damage to you during this turn and return the creature to play, tapped. Otherwise, sacrifice it.	Clay Pigeon	
	Create a 3/1 Golem artifact creature token with 2: Regenerate.	Clay Statue	
	Destroy all black creatures.	Cleanse	
	For each land in play, destroy that land unless any player pays 1 life.	Cleansing	
	Prevent the next 1d6 damage that would be dealt to you or target creature you control this turn.	Clergy en-Vec	
	If target creature you control would be destroyed this turn, regenerate it unless an opponent pays 1.	Clergy of the Holy Nimbus	
	Whenever target creature you control attacks and isn't blocked this turn, it deals no combat damage. The defending player discards a card at random.	Cloak of Confusion	
	Target creature you control gains flying this turn. Draw a card.	Cloak of Feathers	
	Target creature you don't control phases out.	Cloak of Invisibility	
	Put 1d6 +1/+0 counters on a creature you control. At the end of any combat, if the chosen creature attacked or blocked, remove a +1/+0 counter from it. As long as the chosen creature has counters, it has flying.	Clockwork Avian	
	Put seven +1/+0 counters on a creature you control. At the end of any combat this turn, if the chosen creature attacked or blocked, remove a +1/+0 counter from it.	Clockwork Beast	
	Regenerate target artifact creature you control.	Clockwork Gnomes	
	Put 1d6 +1/+0 counters on a creature you control. At the end of any combat, if the chosen creature attacked or blocked, remove a +1/+0 counter from it. As long as the chosen creature has counters, it can't be blocked by artifact creatures.	Clockwork Steed	
	Put 1d6 +1/+0 counters on a creature you control. At the end of any combat, if the chosen creature attacked or blocked, remove a +1/+0 counter from it. As long as the chosen creature has counters, it can't be blocked by Walls.	Clockwork Swarm	
	You may have the next creature that enters the battlefield under your control enter as a copy of any creature on the battlefield. If not, the creature is a 0/0 Shapeshifter with no special abilities.	Clone	
	Choose a creature type you control. All creatures of that type have "2: Regenerate this permanent." this turn.	Clot Sliver	
	Create a 5/4 blue Djinn creature token with flying that can block only creatures with flying.	Cloud Djinn	
	Create a 5/4 blue Illusion Dragon creature token with flying that can block only creatures with flying.	Cloud Dragon	
	Target creature your opponent controls with flying can block only creatures with flying this turn.	Cloud Elemental	
	Create a 1/1 blue Human Pirate creature token with flying that can block only creatures with flying.	Cloud Pirates	
	Create a 3/1 blue Spirit creature token with flying that can block only creatures with flying.	Cloud Spirit	
	Create a 1/1 blue Faerie creature token with flying that can block only creatures with flying.	Cloud Sprite	
	Whenever a creature comes onto the battlefield this turn, destroy target enchantment.	Cloudchaser Eagle	
	Whenever you cast a multicolored instant or sorcery spell this turn, you may pay 1. If you do, copy that spell. You may choose new targets for the copy.	Cloven Casting	
	Sacrifice a creature. Add RRR to your mana pool.	Coal Golem	
	Sacrifice a land. Target creature you control gains flying this turn.	Coastal Hornclaw	
	Whenever a creature deals combat damage to an opponent this turn, draw a card.	Coastal Piracy	
	Return target creature you control and another target creature to their owners' hands.	Coastal Wizard	
	Each creature gets +1/+1 this turn for each other creature in play that shares a creature type with it. (For example, if a Goblin Warrior, a Goblin Scout, and a Zombie Goblin are in play, each gets +2/+2.)	Coat of Arms	
	Whenever target creature you control becomes blocked by a non-Wall creature this turn, destroy the other creature at end of combat.	Cockatrice	
	Tap a creature you control. It does not untap during this untap phase. At end of turn, that creature gets +1/+1 and gains flying.	Cocoon	
	Target opponent reveals his or her hand. Choose a card from it. That player discards that card.	Coercion	
	Creatures you control don't untap this turn. Put target creature card from a graveyard onto the battlefield. It has haste. At end of turn, remove that creature from the game.	Coffin Queen	
	Target Artifact creature you control gets first strike this turn. 	Coiled Tinviper	
	Target creature gets +1/-1 this turn. Sacrifice an enchantment. If you do, destroy all non-Wall creatures that block target creature this turn.	Coils of the Medusa	
	Chaos deals damage to you equal to the number of snow lands you control.	Cold Snap	
	Remove 1d6 creatures you control from the game. Sacrifice a permanent. Return each creature card removed from the game this way to play under its owner's control.	Cold Storage	
	Draw a card for each creature you control.	Collective Unconscious	
	Target creature you control gets +4/+2 and gains trample this turn.	Colossal Might	
	Target tapped creature you control doesn't untap this turn unless you pay 9 during your upkeep to untap it.	Colossus of Sardia	
	Prevent the next 1 damage that would be dealt to target creature or player this turn for each Plains you control.	Combat Medic	
	Return one or two creatures you control to their owner's hand.	Command of Unsummoning	
	Whenever a creature comes onto the battlefield this turn, sacrifice a creature.	Commander Greven il-Vec	
	Target player discards a card at random unless he or she asks each player (in turn order) for permission to keep it. If a player refuses permission, that player sacrifices a permanent and the card is discarded.	Common Courtesy	
	Look at the top five cards of your library. You may reveal a creature card from among them and put it into your hand. Put the rest on the bottom of your library in any order.	Commune with Nature	
	Sacrifice a creature. Add WUBRG to your mana pool until end of turn.	Composite Golem	
	Whenever a black card is put into a graveyard this turn, draw a card.	Compost	
	Draw three cards.	Concentrate	
	Sacrifice a permanent. Draw two cards, then put a card from your hand on top of your library.	Conch Horn	
	Creatures have haste this turn.	Concordant Crossroads	
	Put target untapped creature you don't control on the bottom of its owner's library. Its controller gains life equal to its toughness.	Condemn	
	Chaos deals 1 damage to target creature or player, 2 damage to another target creature or player, and 3 damage to a third target creature or player.	Cone of Flame	
	You control target permanent.	Confiscate	
	You control target land.	Conquer	
	Target land is indestructible this turn and any auras on it are destroyed.	Consecrate Land	
	Prevent the next 2 damage that would be dealt to you this turn.	Conservator	
	Chaos deals 1d6 damage to target creature or player and you gain 1d6 life.	Consume Spirit	
	Target creature you control gets +1/+0. Put three +1/+0 counters distributed however you wish on creatures in play. At end of turn, if a creature has three or more +1/+0 counters on it, it deals damage equal to its power to its controller, then destroy that creature and it can't be regenerated.	Consuming Ferocity	
	Distribute two -2/-1 counters among one or two target creatures.	Contagion	
	If target untapped creature attacks or blocks this turn, its controller loses 3 life.	Contaminated Bond	
	Discard your hand, exile the top card of your library, then draw seven cards.	Contract from Below	
	You control target creature.	Control Magic	
	Draw four cards, then discard three cards at random.	Control of the Court	
	Mountains are Plains this turn.	Conversion	
	Target creature you control has banding this turn.	Cooperation	
	Chaos deals 1 damage to you.	Copper Tablet	
	If you control an enchantment, you may choose an artifact in play. If you do, that enchantment loses it's abilities and becomes a copy of that artifact. It's still an enchantment.	Copy Artifact	
	Create a 2/1 blue Fish creature token.	Coral Eel	
	Whenever target creature you control attacks and isn't blocked, look at the top card of defending player's library. You may put that card on the bottom of that player's library.	Coral Fighters	
	Discard 1d6 cards at random. Target creature gets +2/+2 this turn for each card discarded this way.	Coral Helm	
	Create a 2/1 blue Merfolk creature token.	Coral Merfolk	
	Tap all untapped blue creatures you control. Put a +0/+1 counter on each creature you tapped this way. Sacrifice an Island.	Coral Reef	
	Return the top creature card from your graveyard to play. Remove the creature from the game at end of turn. You may play this effect again for 2 mana.	Corpse Dance	
	Choose target opponent. Roll 1d6 for each artifact he or she controls. Then destroy each artifact with converted mana cost less than or equal to the number rolled for it. Artifacts destroyed this way can't be regenerated.	Corrosion	
	Chaos deals damage equal to the number of Swamps you control to target creature or player. You gain life equal to the damage dealt this way.	Corrupt	
	Target opponent discards a card for each creature you control.	Corrupt Court Official	
	Each creature you control deals 2 damage to target creature.	Corrupt Eunuchs	
	Sacrifice a creature. Chaos deals 7 damage to you. Ignore this effect if you pay 3BBB.	Cosmic Horror	
	When a creature comes onto the battlefield this turn, draw a card.	Council of Advisors	
	Draw two cards.	Counsel of the Soratami	
	Return one or two target creatures to their owner's hand.	Counterintelligence	
	The next spell cast this turn is countered. This effect may not be responded to.	Counterspell	
	Whenever a creature becomes the target of a spell, ability, or Chaos effect this turn, return that creature to its owner's hand. (It won't be affected by the spell, ability, or effect)	Cowardice	
	Target creature you control with power 2 or less is unblockable this turn.	Crafty Pathmage	
	Create an 8/4 green Rhino creature token with trample.	Crash of Rhinos	
	This turn the defending player must declare at least one blocker for each attacker if able.	Crashing Boars	
	Create a 4/1 red Giant creature token that can't block.	Craven Giant	
	Create a 2/2 black Human Knight creature token that can't block.	Craven Knight	
	Create a 6/4 green Giant creature token with trample and rampage 2.	Craw Giant	
	Create a 6/4 green Wurm creature token.	Craw Wurm	
	Target creature you control gets +3/+0 and gains trample this turn. Destroy it at end of turn.	Crazed Armodon	
	Creatures you control have flying and haste until end of turn.	Crazed Skirge	
	Whenever a creature dies this turn, Chaos deals damage equal to that creature’s toughness to the creature’s controller.	Creature Bond	
	Destroy target artifact, enchantment, or land.	Creeping Mold	
	Creatures with mountainwalk can be blocked as though they didn't have mountainwalk this turn.	Crevasse	
	Chaos deals 1d6 damage to target creature.	Crimson Hellkite	
	Create a 0/1 red Kobold creature token named Crimson Kobolds.	Crimson Kobolds	
	Chaos deals 1 damage to target untapped creature you don't control. That creature must block this turn if able.	Crimson Manticore	
	Whenever target untapped flying creature you don't control blocks a creature without flying this turn, the flyer gets +1/+0 and gains first strike this turn.	Crimson Roc	
	Create a 0/1 red Kobold creature token named Crookshank Kobolds.	Crookshank Kobolds	
	Chaos deals 1 damage to target attacking or blocking creature this turn.	Crossbow Infantry	
	Target creature you control gets +1/+0 this turn for each Mountain you control. Return an enchantment to it’s owners hand.	Crown of Flames	
	Attach target Aura attached to a creature to another creature.	Crown of the Ages	
	You may play land cards from your graveyard this turn.	Crucible of Worlds	
	Draw four cards. Lose half your life, rounded up.	Cruel Bargain	
	Target player sacrifices a creature.	Cruel Edict	
	Look at the top five cards of target opponent's library. Put one of those cards into that player's graveyard, and the rest on top of his or her library in any order.	Cruel Fate	
	Search your library for a card, then shuffle your library and put that card on top of it. You lose 2 life.	Cruel Tutor	
	Destroy target artifact. It can't be regenerated. That artifact's controller gains life equal to its converted mana cost.	Crumble	
	White creatures get +1/+1 this turn.	Crusade	
	Destroy target Plains or Island. Chaos deals 3 damage to that land's controller.	Cryoclasm	
	Whenever target creature you control attacks and isn't blocked, defending player gets a poison counter. (A player with ten or more poison counters loses the game.)	Crypt Cobra	
	Chaos deals 1d6 damage to each creature and each player.	Crypt Rats	
	Target creature you control phases out at end of turn.	Crystal Golem	
	Gain 1 life for each blue permanent in play.	Crystal Rod	
	Choose target creature. That creature can't attack or block this turn. When that creature becomes the target of a spell or ability this turn, exile that creature.	Crystallization	
	Target opponent discards a card.	Cunning Advisor	
	If a creature is unblocked this turn, you may have it deal its combat damage to any creature the defending player controls.	Cunning Giant	
	Chaos deals 1 damage to any target and 1 damage to any target of an opponent’s choice.	Cuombajj Witches	
	Each player returns a creature he or she controls to its owner's hand.	Curfew	
	Whenever target creature deals damage to a player, that creatures controller may draw a card.	Curiosity	
	Chaos deals 2 damage to you unless you sacrifice an artifact.	Curse Artifact	
	Tap all Islands. Yours don't untap this turn.	Curse of Marit Lage	
	Chaos deals 1 damage to target player if they control a land.	Cursed Land	
	Target opponent discards down to 4 cards.	Cursed Rack	
	Name a card. Reveal a card at random from your hand. If it's the named card, Chaos deals 2 damage to target creature or player.	Cursed Scroll	
	Activated abilities of creatures can't be played this turn. This effect may not be responded to.	Cursed Totem	
	Return a permanent you control to its owner's hand. Target creature you control is 0/1 this turn. At end of turn, put a +1/+1 counter on that creature.	Cycle of Life	
	Chaos deals 1d6 damage to each creature and each player.	Cyclone	
	Whenever a creature you control is put into a graveyard from play this turn, remove it from the game.	Cyclopean Mummy	
	Target non-Swamp land is a Basic Swamp until end of turn.	Cyclopean Tomb	
	Target creature you control has power and toughness this turn each equal to the number of lands you control.	Dakkon Blackblade	
	Create a 1/1 black Bat creature token with flying.	Dakmor Bat	
	If you control a creature, all opponents lose 2 life and you gain 2 life for each opponent.	Dakmor Ghoul	
	Whenever a creature comes onto the battlefield this turn, destroy target nonblack creature.	Dakmor Lancer	
	Chaos deals 3 damage to each creature and each player.	Dakmor Plague	
	Create a 2/1 black Scorpion creature token.	Dakmor Scorpion	
	Target creature you control has power this turn equal to the number of Swamps you control.	Dakmor Sorceress	
	Tap all artifacts. You can't untap more than one artifact during your untap step.	Damping Field	
	Put a token creature onto the battlefield as a copy of target nontoken creature in play. Remove the token from the game at end of turn. When the token leaves play, sacrifice an enchantment.	Dance of Many	
	Put target creature card in your graveyard onto the battlefield tapped under your control with a +1/+1 counter on it. This creature doesn't untap during your untap step. At the beginning of your upkeep, pay 1B to untap this creature. At end of turn, put this creature into your graveyard.	Dance of the Dead	
	Create a 1/5 Spirit artifact creature token with flying.	Dancing Scimitar	
	Creatures can't attack this turn unless the defending player controls an Island. If you control no Islands, sacrifice a creature.	Dandan	
	Sacrifice a creature. Destroy target black creature.	Daraja Griffin	
	Sacrifice a creature. Target player discards a card at random.	Daring Apprentice	
	Destroy target nonblack creature. It can't be regenerated.	Dark Banishing	
	Sacrifice a Forest. Gain 3 life.	Dark Heart of the Wood	
	Target Wall you control can attack as though it didn't have defender this turn. Remove that creature from the game at end of turn.	Dark Maze	
	Destroy target nonblack creature. You gain 3 life.	Dark Offering	
	Sacrifice a creature. Target creature you control gets +1/+1 this turn and has a regeneration shield this turn.	Dark Privilege	
	Add BBB to your mana pool. This mana doesn't empty until end of turn.	Dark Ritual	
	Sacrifice a permanent. The next time a source of your choice would deal damage to you this turn, it deals half that damage, rounded up, to you instead.	Dark Sphere	
	Creatures are black this turn.	Darkest Hour	
	Choose one: Regenerate target creature you control; or Target creature you control gets +1/+1 this turn.	Darkling Stalker	
	Combat damage is prevented this turn.	Darkness	
	Exchange target card in exile with the top card of your library.	Darkpact	
	The next 1 damage for each Plains you control that would be dealt this turn to target white creature you control is dealt to another creature you control instead.	Daughter of Autumn	
	Sacrifice a creature you control. Creatures you control gain indestructible this turn.	Dauntless Escort	
	1d6 target creatures you control gain shadow this turn.	Dauthi Embrace	
	Whenever a creature with shadow is put into a graveyard from play this turn, put a +1/+1 counter on all creatures in play with shadow.	Dauthi Ghoul	
	Target creature you control can't be blocked by white creatures this turn.	Dauthi Horror	
	Target creature you control has shadow this turn.	Dauthi Marauder	
	Target creature with shadow gets +1d6/+0 this turn.	Dauthi Mercenary	
	Sacrifice a creature. Target opponent discards three cards.	Dauthi Mindripper	
	Creatures with shadow attack this turn if able.	Dauthi Slayer	
	Tap a creature you control. Chaos deals 1 damage to target untapped creature.	D'Avenant Archer	
	Target creature you control is considered blocked if it attacks this turn.	Dazzling Beauty	
	Creatures with forestwalk can be blocked as though they didn't have forestwalk this turn.	Deadfall	
	Put a card from your graveyard onto the battlefield. Target opponent discards his or her hand of cards.	Deadhead	
1	Create a 6/1 green Insect creature token with shroud.	Deadly Insect	
1	Tap target untapped creature. It deals damage equal to its power to another target creature.	Deadshot	
	When a creature enters the battlefield under your control this turn, Chaos deals 3 damage to target creature with flying. Creatures have cycling 1 this turn.	Deadshot Minotaur	
	Sacrifice your creatures. Creatures you control get +2/+2 this turn.	Death Pit Offering	
	Whenever a creature is dealt damage this turn, destroy it. It can't be regenerated.	Death Pits of Rath	
	Chaos deals 1 damage to target creature or player for each Mountain you control.	Death Spark	
	Create a 1/1 white Human Cleric creature token with protection from black.	Death Speakers	
	Destroy target tapped creature.	Death Stroke	
	Regenerate target creature until end of turn. This effect may not be responded to.	Death Ward	
	Whenever a creature you don't control is put into a graveyard this turn, its controller loses life equal to its power and you gain life equal to its toughness.	Death Watch	
	Whenever a creature you control dies this turn, put a +1/+1 counter on a creature you control. Until end of turn, you may remove a +1/+1 counter from a creature you control: Chaos deals 1 damage to any target.	Deathbringer Thoctar	
	Create a 7/6 green Wurm creature token that may assign its combat as though it weren't blocked.	Deathcoil Wurm	
	Whenever a creature blocks or becomes blocked by a non-black creature this turn, destroy the non-black creature(s) at end of combat.	Deathgazer	
	Counter all green spells this turn. This effect may not be reponded to.	Deathgrip	
	Target permanent becomes black permanently. (Mana symbols on that permanent remain unchanged.)	Deathlace	
	Destroy target green or white creature.	Deathmark	
	Regenerate target creature you don't control. You gain control of that creature if it regenerates this turn.	Debt of Loyalty	
	Target opponent discards two cards.	Deception	
	Target black creature controlled by an opponent is sacrificed unless its controller pays 1d6+2 life. When that creature is put into a graveyard this turn, its controller loses 2 life.	Decomposition	
	Sacrifice a creature unless you put the top two cards of your library into your graveyard. Target creature you control gains shroud until end of turn and doesn't untap during your untap step. Tap it.	Deep Spawn	
	If you tap a land you control for mana this turn, it produces U instead of any other type.	Deep Water	
	Prevent all damage that would be dealt this turn by attacking creatures.	Deep Wood	
	Create a 5/5 blue Serpent creature token that can't attack unless the defending player controls an Island.	Deep-Sea Serpent	
	Pay 2 life. Regenerate target creature.	Deepwood Ghoul	
	Spells other than yours cost 3 more to play until the end of turn.	Defense Grid	
	Target creature gets +1/+3 until the end of the turn. If that creature is tapped, untap it. Play this effect only during the declare attackers step this turn.	Defiant Stand	
	Each player sacrifices a monocolored creature. Target creature you control gains flying this turn.	Defiler of Souls	
	Change the target of the next spell or ability this turn if it has a single target.	Deflection	
	Target creature you control doesn't untap during your untap step this turn.	Dehydration	
	Return target sorcery card from your graveyard to your hand.	Déjà Vu	
	Tap and sacrifice a noncreature permanent. When a creature you control attacks and isn't blocked this turn, you may gain life equal to its power. If you do, it deals no combat damage.	Delif's Cone	
	Tap a noncreature permanent you control. If a creature is not blocked this combat, it deals no combat damage. Regenerate all of your creatures.	Delif's Cube	
	Tap target creature. That creature deals damage equal to its power to its controller. Prevent all combat damage that would be dealt to and dealt by the creature this turn.	Delirium	
	Tap all creatures without flying.	Deluge	
	Gain 10 life. At end of turn, lose 10 life.	Delusions of Mediocrity	
	Destroy target artifact or land.	Demolish	
	Each player exiles the top card of their library.	Demonic Attorney	
	Name a card. Remove the top six cards of your library from the game, then reveal cards from the top of your library until you reveal the named card. Put that card into your hand and remove all other cards revealed this way from the game.	Demonic Consultation	
	Choose a creature. Target creature can't block this turn. Cascade the first spell you cast this turn.	Demonic Dread	
	Destroy target land. Then, you may pay 3. If you do not, tap all creatures you control (they don't untap this turn) and sacrifice a land of an opponent's choice.	Demonic Hordes	
	Target creature you control can't attack this turn.	Demonic Torment	
	Search your library for a card, put that card into your hand, then shuffle.	Demonic Tutor	
	Reveal any number of black cards in your hand. You may gain 1 life for each card revealed this way.	Demon's Horn	
	Target creature you control gains "X: this creature gets +X/+0 until end of turn." this turn.	Demonspine Whip	
	Destroy target enchantment.	Demystify	
	Name a card. Look target players hand. If the named card is in that players hand, that player discards a card at random.	Denied!	
	Choose a creature you control. Return each other creature you control to its owner's hand.	Denizen of the Deep	
	Creatures have shroud this turn.	Dense Foliage	
	Return target permanent to its owner's hand. Cascade the first spell you cast this turn.	Deny Reality	
	Black spells you play cost B more to play this turn.	Derelor	
	If target creature you control attacks this turn, Chaos deals 1 damage to it for each land you control after combat damage.	Desert	
	Create a 2/2 red Drake creature token with flying.	Desert Drake	
	Prevent all damage that would be dealt to creatures by Lands this turn.	Desert Nomads	
	Chaos deals 1 damage to each creature.	Desert Sandstorm	
	Destroy target permanent.	Desert Twister	
	Target player discards a card at random. If it's an artifact or creature spell, put that card onto the battlefield instead of into its owner's graveyard.	Desertion	
	At end of turn, each player who tapped a land for mana this turn sacrifices a land. If a Plains is sacrificed this way, Chaos deals 2 damage to that Plains's controller.	Desolation	
	Creatures you control get +2/+0 this turn.	Desperate Charge	
	Choose a source you control and roll 1d6. If the roll is even, the next time that source would deal damage this turn, it deals double that damage instead. If the roll is odd, the next time it would deal damage this turn, prevent that damage.	Desperate Gambit	
	Destroy target permanent you own. It can't be regenerated.	Despotic Scepter	
	Destroy target artifact with converted mana cost 1d6 or less. It can't be regenerated. Chaos deals 1d6 damage to that artifact's controller.	Detonate	
	Destroy all creatures and lands.	Devastation	
	Create a 1/2 white Elf Soldier creature token.	Devoted Hero	
	Create a 1/2 blue Fish creature token with islandwalk.	Devouring Deep	
	Whenever a creature comes onto the battlefield this turn, you gain 1 life.	Devout Monk	
	Target player sacrifices a creature.	Diabolic Edict	
	Create a 4/4 Construct artifact creature token with 3: Regenerate.	Diabolic Machine	
	Search your library for a card and put that card into your hand. Then shuffle your library.	Diabolic Tutor	
	Look at the top five cards of your library. Put one of them into your hand and the rest on top of your library.	Diabolic Vision	
	Add one mana of any color to your mana pool.	Diamond Kaleidoscope	
	Sacrifice a creature. You gain life equal to the sacrificed creature's toughness.	Diamond Valley	
	Destroy target creature of your choice, then destroy target creature of an opponent's choice.	Diaochan, Artful Beauty	
	Put a Minotaur permanent card from your hand onto the battlefield.	Didgeridoo	
	Each player shuffles his or her hand and graveyard into his or her library. Remove the top ten cards of your library from the game. Then each player draws up to seven cards.	Diminishing Returns	
	Chaos deals 2 damage to each player for each land in their graveyard.	Dingus Egg	
	Whenever a creature is put into a graveyard from play this turn, Chaos deals 2 damage to that creature's controller.	Dingus Staff	
	If you control a Plains, target creature you control has banding this turn.	Dire Wolves	
	Put a +1/+1 counter on a creature you control for each land target opponent controls.	Dirtcowl Wurm	
	Target creature you control gets +1/+0 this turn for each Swamp you control.	Dirtwater Wraith	
	Put the last permanent played to its owners graveyard. Look at the top four cards of your library, then put them back in any order.	Discombobulate	
	Put 1d6 +1/+1 counters on target creature you control. At end of turn, remove all +1/+1 counters in play.	Discordant Spirit	
	When target creature you control deals combat damage to a player, at end of turn it deals 1d6 more damage to that player.	Diseased Vermin	
	Put target artifact or enchantment on top of its owner's library.	Disempower	
	Destroy target artifact or enchantment.	Disenchant	
	Target creature you control cannot attack this turn.	Disharmony	
	Chaos deals X damage to any target where X=the number of lands you control. If it’s a creature, it can’t be regenerated this turn, and if it would die this turn, exile it instead.	Disintegrate	
	Target player discards a card at random. Draw a card.	Dismiss	
	Chaos deals 2 damage to each white creature and each player who controls a white creature.	Disorder	
	Draw a card. Target player chooses one - Discard a card at random; or Pay 1.	Disrupt	
	Target player discards a card.	Disrupting Scepter	
	Tap a creature you control. Return the last permanent cast to its owners hand unless its controller pays 1.	Disruptive Student	
	Remove a card at random from target players hand from the game.	Dissipate	
	Tap a noncreature permanent you control. Target permanent becomes the color of your choice this turn.	Distorting Lens	
	Target player reveals his or her hand. You choose a nonland card from it. That player discards that card.	Distress	
	Return target creature card from your graveyard to your hand. You may play this effect again for 3 mana.	Disturbed Burial	
	If a player does not win the game this turn, the game is a draw.	Divine Intervention	
	Destroy target artifact. You gain life equal to its converted mana cost.	Divine Offering	
	Chaos deals damage to target creature you control equal to the number of other creatures you control.	Divine Retribution	
	Target creature gets +3/+3 this turn.	Divine Transformation	
	All artifact creatures have flying and vigilance this turn.	Diving Griffin	
